Algorithm,Metric,Actual,Predicted,Absolute_Error,Percent_Error
FedSemGNN,reward,0.0,0.85,0.85,85.0
FedSemGNN,latency,2.069000038318336,5.03,2.9609999616816642,143.1126102872544
FedSemGNN,model_fidelity,100.0,99.94,0.060000000000002274,0.060000000000002274
FedSemGNN,power_consumption,72.10269034181783,920.08,847.9773096581822,1176.068889577031
FedSemGNN,communication_overhead,0.01434326171875,44.96,44.94565673828125,313357.2936170213
FlatFedPPO,reward,-0.6556946039199829,1.02,1.675694603919983,255.56022482144365
FlatFedPPO,latency,229.16666666666663,421.94,192.77333333333337,84.11927272727276
FlatFedPPO,model_fidelity,16.666666666666664,66.61,49.943333333333335,299.66
FlatFedPPO,power_consumption,2432.839225,40106.15,37673.310775,1548.5326933184415
FlatFedPPO,communication_overhead,0.0,1372.15,1372.15,137215.0
HierFedPPO,reward,2.0116281509399414,-2.1,4.111628150939941,204.3930509233909
HierFedPPO,latency,291.6666666666667,540.61,248.94333333333333,85.35199999999999
HierFedPPO,model_fidelity,50.0,99.94,49.94,99.88
HierFedPPO,power_consumption,1067.59285,13598.58,12530.98715,1173.760872414985
HierFedPPO,communication_overhead,1.3264846801757812,9463.66,9462.333515319824,713339.0725677968
HSQF,reward,-2.1074960231781006,-0.16,1.9474960231781007,92.4080521035233
HSQF,latency,277.77777777777777,540.61,262.83222222222224,94.61960000000002
HSQF,model_fidelity,66.66666666666666,33.27,33.396666666666654,50.09499999999999
HSQF,power_consumption,853.3261416666667,10735.5,9882.173858333334,1158.0770089888551
HSQF,communication_overhead,0.003662109375,11.48,11.476337890625,313380.5333333333
RandomPlacement,reward,-1.3973649740219116,0.5,1.8973649740219116,135.7816325223105
RandomPlacement,latency,270.8333333333333,540.61,269.7766666666667,99.60984615384618
RandomPlacement,model_fidelity,100.0,99.94,0.060000000000002274,0.060000000000002274
RandomPlacement,power_consumption,2475.9919083333334,37639.11,35163.11809166666,1420.16288394642
RandomPlacement,communication_overhead,3.814697265625e-05,0.12,0.11996185302734375,314472.8
